STUDY.ACCESSION	is_meta_analysis
GCST90017093	TRUE
GCST90017100	TRUE
GCST90016953	TRUE
GCST90016963	TRUE
GCST90017110	TRUE
GCST90016992	TRUE
GCST90016993	TRUE
GCST90016997	TRUE
GCST90017007	TRUE
GCST90016970	TRUE
GCST90016976	TRUE
GCST90017038	TRUE
GCST90017042	TRUE
GCST90017057	TRUE
GCST90017018	TRUE
GCST90016908	TRUE
GCST90016929	TRUE
GCST90016943	TRUE
GCST90016946	TRUE
GCST90016952	TRUE
GCST90017060	TRUE
GCST90017062	TRUE
GCST90017066	TRUE
GCST90017070	TRUE
GCST90017075	TRUE
GCST90017077	TRUE
GCST90007526	TRUE
GCST90007527	TRUE
GCST90007528	TRUE
GCST90007529	TRUE
GCST90011866	FALSE
GCST90013410	FALSE
GCST90012790	FALSE
GCST90012791	FALSE
GCST90012792	FALSE
GCST90012793	FALSE
GCST90012794	FALSE
GCST011494	FALSE
GCST90012877	TRUE
GCST90014122	TRUE
GCST90000529	TRUE
GCST90014033	TRUE
GCST90017133	TRUE
GCST90013405	FALSE
GCST90014266	FALSE
GCST90014267	FALSE
GCST90014023	TRUE
GCST90002230	TRUE
GCST90002231	TRUE
GCST90002233	TRUE
GCST90002243	TRUE
GCST90014325	FALSE
GCST90000513	TRUE
GCST90016666	FALSE
GCST90016667	FALSE
GCST90016668	FALSE
GCST90016669	FALSE
GCST90016670	FALSE
GCST90016671	FALSE
GCST90016672	FALSE
GCST90016673	FALSE
GCST90016674	FALSE
GCST90016675	FALSE
GCST90016676	FALSE
GCST90014287	TRUE
GCST90014288	TRUE
GCST90014289	TRUE
GCST90014290	TRUE
GCST90014291	TRUE
GCST90014292	TRUE
GCST90014299	TRUE
GCST90014300	TRUE
GCST90014301	TRUE
GCST90014302	TRUE
GCST90014303	TRUE
GCST90014304	TRUE
GCST90000514	TRUE
GCST90000515	TRUE
GCST90000045	TRUE
GCST90000046	TRUE
GCST90000047	TRUE
GCST90000048	TRUE
GCST90000049	TRUE
GCST90000050	TRUE
GCST90025973	FALSE
